value,count
it is worth visiting in the evening to see the `` light up '' .,1
it was quiet and no lines to go up .,1
"i have been to paris many times , but the trip is never complete until i see the eiffel tower !",1
"as always the place to visit , an amazing structure .",1
go early if you want to go straight to the top .,1
just like all of the other reviews thus was quite spectacular but be warned you will be shoulder to shoulder with people .,1
watch out for them !,1
go all the way to the top ... repeat go to the top ... pay attention to signs - some are confusing as to where to line up .,1
this time it was a last minute trip so tickets were all sold out online .,1
going to the eiffel tower means waiting .,1
great view of paris from last floor of tower .,1
"do n't worry about buying skip the line tickets in advance , the queue appears long to buy tickets , but it moves very quickly .",1
and the bathroom line is long .,1
the 1st 2 years we gave up when we saw the size of the queues .,1
but it was a must do for paris .,1
i was n't going to go to the top with our family of five because of all the confusing ticket scenarios .,1
had lunch here and did n't expect it to be so fancy and relaxing .,1
the view from the restaurant levels were awesome .,1
we loved visiting the eiffel tower .,1
but once there it was a pleasant experience .,1
do n't forget the tissues .,1
"otherwise , long queue is guaranteed .",1
we visited the eiffel tower and had lunch there .,1
lunch was really tasty .,1
the eiffel tower itself is absolutely iconic .,1
dress up appropriately as it 's windy up the tower .,1
"you can pre-purchase your tickets to the observation deck however , we booked lunch at ' 58 ' -lrb- the restaurant on the first level of the eiffel tower -rrb- and it included the entrance into the eiffel tower and the ticket on the elevator up .",1
we were not disappointed !,1
another draw back is that there are way too many souvenir hawkers than one would ever need .,1
but long lines .,1
you walk out of the metro station and just a few meters around the corner onto the plaza and the most magnificent spectacle is there to surprise you .,1
is it a must visit ?,1
unforgettable night out .,1
the view from the top floor is beautiful so it is best if you go up on a nice clear day .,1
"our tour got us there in time , despite paris traffic .",1
"by fortunate or unfortunate i have wait for 8 hrs at paris airport , so i have decide to go out and see eiffel tower .",1
i think they know it and charge what they want .,1
long queues to the summit -lrb- although you have bought the tickets in advance -rrb- .,1
i really liked how friendly and informative our guide was,1
price at the eiffel tower was only $ 17 euros - went on a weekday evening and there was no line .,1
wonderful place to visit .,1
eiffel,1
everything we expected and more !,1
"for people that do n't like heights , do n't go the highest level .",1
"that 's my recommendation , having done it both ways !",1
tick off the bucket list .,1
tallest iron tower .,1
best place in paris .,1
... but unfortunately must see ...,1
and queuing again to just go down .,1
"admittedly , i got goose bumps in the same way i do when seeing the statue of liberty .",1
you can see very well from the first deck .,1
"the queue to the top part was long , we thought we have time so queued , over an hour later we got in the lift , on leaving the lift the queue to go back down was massive and we thought we had better spend too much time up here .",1
"being in paris i simply had to visit the eiffel tower , having seen it in pictures and on tv before i did n't think it would be as breath taking !",1
it met the huge expectations it raises .,1
luckily the tour was skip the line all the way to the top and that save a lot of times .,1
how can you not visit it if you 're in paris ?,1
"my son , 14 , could not be convinced to go to the very top , which , if you afraid of heights is natural .",1
we got one of those `` beat the line '' tickets -lrb- online -rrb- which came with a short guided tour .,1
bring your lunch and water with you and have lunch while you wait in line for 2 hours .,1
we are over 65 years old and it took us 12 minutes to get to the second floor .,1
queue looked as though it was going to take hours but we were pleasantly surprised and although it is busy with the usual rude tourists that do n't seem to understand how to queue we had a great day .,1
the tower it 's self is amazing .,1
i do n't think a detailed review is required here .,1
you can take the stairs down from the second level to the first level - recommended .,1
it is hard to see it lite up because in the summer it gets dark late .,1
"there was a queue for security which took about 10 mins , but we walked straight up to ticket office and got straight up to the top in no time .",1
"timed , advanced purchased tickets are essential .",1
of course once can not leave paris without visiting eiffel tower .,1
"we bought skip the line tour tickets via viator , but with the wheelchair it was probably unnecessary .",1
the last time i went it was extremely windy but still amazed me .,1
one does have to consider if it 's worthwhile dealing with rude security staff on site .,1
this was a fantastic time to go as there were no crowds at all !,1
"come down to 1st floor , lie on the glass floor and take pics , enjoy coffee , chocolate and more in the the restaurants , sit there for at least an hour and simply enjoy .",1
although the guide told us we could listen to her talk and still have time to go to the top she was wrong .,1
be prepared to stand in line for the lift even if you get your tickets in advance .,1
"of course you are going to go , but just know the lines are long and even if you buy your tickets in advance .",1
i loved everything about it !,1
we queued for an hour .,1
it is definitely worth it .,1
"the theme was a picnic so i did n't have have high hopes for the menu , it was however very good , not hot dogs and hamburgers .",1
a must see attraction in france .,1
"even if you 're relaxing on the grassy area behind the tower , they 'll come over to you and offer beer/wine for a few euros and you 'll hear that pitch at least a dozen times .",1
this lift goes a lot faster .,1
go to the restaurant in the first floor and enjoy a wonderful meal .,1
but we were lucky enough to find an suv taxi that could return the six of us back to the marais .,1
gifts are usually twice as expensive than in the other official outlets in paris .,1
if you want to see paris at night be aware that the restaurant closes early even on weekends so you will only have an hour or two and below to see the city lit up as france does n't have a sundown until 10 o'clock at night,1
the site is fantastic and the views of the tower are amazing .,1
a great site to see but the people trying to sell you things was very annoying .,1
"you ca n't come to paris and not visit the eiffel tower , the queues are huge but we purchased a `` skip the queue '' ticket before we left the uk which was great value for money .",1
"great views , i 'm sure even better in nice weather .",1
"but for this first viewing , it was the pinnacle of my paris tour .",1
check on the timings we nearly missed it .,1
beware that main lift only seems to stop at level 1 on the way down .,1
not to difficult .,1
night is especially captivating with the light show on the tour every hour after it gets dark .,1
but other than that its a just brown metal stacked on top of each other .,1
"touristy , but worth the crowd .",1
and the view is actually the best from that level .,1
the top floors were closed due to wind .,1
"bigger than we expected , had to queue for security and tickets , to be expected , great views , you can spend as long as you want up in the tower when we were there it was very windy !",1
3rd trip to eiffel tower but first with children .,1
especially the view from the top is amazing .,1
it 's totally fun to walk down the stairs from the second floor !,1
$ 25 for both of us to the top .,1
you do not stand in line for a ticket .,1
"although unable to go up to the very top due to renovations , the rest of the experience is fabulous .",1
"after climbing up from the ground to the 2nd platform , we found that the elevator to the top was off for maintenance for 2 weeks !",1
going to the first stop in the tower is free if you take the stairs but i recommend paying the elevator throughout the entire tower for both levels since the lines are smaller and the difference in cash is not huge .,1
its definitely worth it !,1
"we visited the louvre on wednesday and although crowded , the size of the louvre soon disperses any crowd to manageable sizes , even to view such items as the mona lisa .",1
it is one of the seven wonders of the modern world .,1
"there are two levels you can go on but if you want to go to the top you have to pay more , on the lower level there are souvenir shops and a little counter to buy food , however everything was over priced .",1
evening photography is beautiful .,1
you ca n't go to paris without two visits to the eiffel tower .,1
was a brilliant and memorable experience .,1
i did n't go up the tower as i personally thought it was expensive but i was also on a very tight budget .,1
my favorite aspect of la tour eiffel - the lights and its sparkle on the the hour .,1
"when in the lifts , look up and take a photo shot of the steel structure - it 's an amazing structure .",1
"there are a lot of police nearby to discourage pickpockets and unauthorized vendors , but still be aware of your surroundings , so that you will be able to have a wonderful experience here .",1
good value for wheelchair user and companion and helpful staff great views glass floor on level 1 and cafe.level 2 not accessible for wheelchair users,1
"i can understand going to paris and not actually visiting the et , because just to see it from afar is a lucky and romantic treat , but now that i 've done it -- i ca n't believe that i 've never done it before .",1
the queues were very very long and you are pestered by hawkers .,1
there 's nowhere close by where you can go for cover either so come prepared with an umbrella or poncho .,1
we had reserved tickets for the top level that worked out to be just before sunset .,1
we arrived for out time booked and were at the top within 10 minutes .,1
the view from the second level is amazing - a definite must do in paris .,1
"i was there in march , and many dates and times were sold out a month ahead .",1
the lines are very long but goes quite quickly .,1
some spectacular views and stunning picture opportunities .,1
it was everything around it and getting to it .,1
"such a beautiful place be aware of pocket pickers , buy advance ticket and take food with you if you want live with in budget",1
"every bit of amazing from afar as it is up close , a wonderful iconic tower overlooking all that the wonderful parisians can offer ... usual pick pocket gangs etc so be careful",1
reasonably priced tickets - coffee was a total rip off -lrb- as to be expected -rrb- .,1
so better go to the montparnasse tower - for amazing view with eiffel tower :-rrb- and no entry queue as enjoyable bonus .,1
the crowds of tourists make the surroundings sweltering in the summer heat and not a place to spend much time most people do not actually go to the top of the eiffel tower as the wait on line is lengthy .,1
there were signs by each leg to say if they were lift or stairs but these were n't readily apparent with so many people around so better information on site would n't go amiss .,1
"try to avoid the gypsies because they have mastered the area and i have seen children used to steal purses , cameras , etc and disappear through the crowd with help of their group .",1
"very crowded as you would expect but go late at night you see at its best and its less busy , go with a friend the many vendors with their flashing eiffel towers may be intimidating on your own",1
we did a guided tour which included a lunch and stop at the tower - this is the best way to see it and you avoid all the long queues -lrb- you kind of get used to them in paris -rrb- .,1
that is so beautiful !,1
"museums , monumentums , plazas , palaces , cathedrals and the respect for its founder fathers talk about that , however , the eiffel tower allows to all visitors to see every corner of this beautifull city from a pure touristic perspective .",1
worth the lines .,1
well worth every penny !!,1
"anyone who shows up to the eiffel tower expecting it to be uncrowded , not touristy , and devoid of street hawkers should have just stayed home .",1
"got tickets just by standing in queue for 1 hr , even during easter holidays .",1
"expect queues , everywhere from getting into the eiffel tower to when you are at the top wanting to come down .",1
you get access to the underground areas and lift machinery and then get the lift up to the second level where the guide leaves you to do as you wish .,1
we had prebooked summit tickets for the very reasonable price of $ 17pp .,1
"our guide , luca , was amazing !!!",1
"i was a bit scared , but it 's a solid structure underfoot and you feel secure walking around .",1
bucket list experience .,1
that was amazing !,1
it 's big metal and tall,1
eiffel tower is a must-go if it 's your first time to visit .,1
you ca n't go to paris without visiting the eiffel tower - it 's one of the most visited tourist attractions in the world .,1
"a must see , obviously for the photo op but there are much better views of it further away .",1
the weather was n't great - grey and misty - but the views were still incredible and the experience is one not to miss when visiting paris .,1
the eiffel tower is too beautiful to be real .,1
you can either brave the steps or save your energy and take the lift .,1
"we were in paris a couple of summers ago , and , since we only had a few days , skipped this one .",1
the scene was beautiful and the night lights of the city made it even better .,1
the other touts trying to sell you a cap when you 're waring one already ... there 's a lot of street graffiti on pillars and poles and the surrounding is n't maintained that we 'll either ... even the gardens at the rear of the tower are a sorry sight with minimal landscaping and full of cigarette butts and bottle crowns .,1
fantastic monument an absolute must see ... but not for us the two hour wait to visit the top .,1
the views on the day were worth the hike .,1
expect long cues during peak and weekends,1
we got a good distant night view from the bridges as well .,1
people jammed into the elevator and the levels were very crowded .,1
great to see and get a great view of the city .,1
"the security is part of western life and it was n't gustav eiffel 's original plan , but take this minor inconvenience on the chin .",1
definitely is a must to visit it .,1
absolutely loved the eiffel tower .,1
"when you see the eiffel tower , that 's when the feeling of being in paris finally hits you .",1
to me it 's not so special at day time .,1
walk along the siene river at sunset to soak in the beautiful view and reach the tower at night as the tower gets magically transformed into the color of gold by the light .,1
lighting was awesome .,1
we paid extra for a priority pass and that was money well spent as we saved considerable time in not standing in the queues .,1
as i was trying to get my purse open to put the change in i said `` thank-you '' and he picked up the 20 $ note and put it in the cash register !,1
"it cost 7 euros , and you can reach until the second floor .",1
"we have visited paris several times , but the first time we saw the eiffel tower it took our breath away .",1
went up to the top .,1
crowded and a bit of complicated street scene below -lrb- watch for pick-pockets -rrb- but do it once .,1
the first queue was the outer security barrier and airport security .,1
i had planned my europe visit in the summer months .,1
"many a visitor visits paris to see the eiffel tower , i have been there many times over the years , i would highly recommend touring this landmark at night .",1
"good to see security has been increased , we went through four points of checking before entering the lift areas -lrb- penknives and lighters were removed from other visitors and not returned -rrb- .",1
there is a bar/restaurant/shops up the tower so it makes for a good afternoon .,1
but do n't let it deter you from seeing this national monument .,1
they still walking around there ... carefull for tourist in paris .,1
"seriously , buy your tickets in advance online if you can .",1
food available as well as a very special restaurant reasonably priced,1
one must see the nightly light show as well .,1
"book & get in early to beat the tourists , watch out for the halkers selling things cheap , buy tickets online so much cheaper & go to the top if your able the sights are amazing .",1
no tickets available till late august !,1
suggest you pre-book online,1
the eiffel tower might not be very interesting in the daytime but is impressive at night .,1
the restrooms on this level are not crowded .,1
awesome view from champs de mars .,1
as you can imagine it a very busy place so i recommend you buy fast track tickets as we did and allow plenty of time as we were there for about 4 hours .,1
"2nd and third levels were incredibly busy , but only to be expected .",1
we were lucky to join a rather small queue on a sunday morning .,1
you can take the elevator or climb the stairs .,1
must see in paris !!!!,1
visited in october 2014 .,1
the weather was n't great and euro2016 fan zone nearby seem to dampen the whole experience .,1
"it is huge , intricate , and beautiful .",1
felt uneasy overall .,1
i selected the individual rates -lrb- there were 4 of us -rrb- and selecting the calendar date that we wanted to go .,1
but it actually worked out great .,1
could n't get so close because of sporting event .,1
"and please go to the top level , view is majestic .",1
the light show started while we were on top and it was an amazing experience !,1
"unfortunately it rained , was pretty chilly , and very windy .",1
# 13 for 2 adults and a child -rrb- .,1
also the glass floor was weird to stand in seeing below you,1
"if you do n't have a view of the tower at night , make it a point to go there to see it .",1
a quick elevator ride up you will have to takeadeep breath for the sight you are about to see .,1
looks nice but on a sunny day expect to be queuing up for a very long time while being harassed by street merchants and beggars .,1
"hit the top , the views are sensational , a must for anyone visiting paris .",1
the views are everything !!,1
"a must visit icon of paris , but prepared that there are lots of people and have to pay a fee to go up .",1
its worth wading through the street hawkers and the crowds .,1
want to go again,1
on a clear day you can see for miles in all directions .,1
-lrb- i was a poor college student then -rrb- now back with my kids i was happy to have to chance to go up .,1
or if well off have lunch at the jules verne restaurant and get your own private lift up .,1
of course this iconic point of interest was high on my list .,1
the eiffel tower is a great symbol of paris and the view from the top is spectacular .,1
"it is beautiful in the day , but spectacular at night .",1
"unless you are really hell-bent on going to the top of the tower , take my advice and just view it from a much nicer part of paris .",1
way overpriced for what it is .,1
"we have been to paris often and we love to walk around champ de mars , watching paris gather and play in the shadow of the gorgeous eiffel tower .",1
so you 're in paris and you do n't go to the eiffel tower - what 's wrong with you ???,1
you ca n't go to paris as a tourist and not visit the eiffel tower .,1
the views from thw top are definitely worth the wait .,1
i like it better at night when it is lighted .,1
very iconic !,1
thanks god they did n't .,1
we had lunch in the eiffel tower with a 5 minute wait .,1
they seem as if they cared and was sorry but they did n't really help us nor do i think they could have .,1
you need to be patient with some ignorant people especially at the lifts they just want you to push people in so they can get in themselves instead of waiting but european culture though !!!!,1
love to go there again whenever get a chance .,1
thoroughly enjoyed our time !,1
went up in the day time and the view of paris was beautiful .,1
worth a visit for sure .,1
i was there for new year 's eve 12/31/2015 .,1
"on the way down , skip the stop on the second floor .",1
"there is an incredible amount of tourist tat on sale , but ignoring that , the view is of course worth all the hassle and the experience is mandatory - at least once in a lifetime .",1
or spectacular ?,1
"the tower is lit up and sparkles every first five mins of the hour every evening , worth stopping by this amazing sight .",1
we loved seeing it lit up .,1
one of the most beautiful and breath taking experiences of my life !!!,1
went to the top .,1
"we had no issues here , but a lot of people had backpacks on their front and had locks on them .",1
but i am glad i did .,1
recommending to buy your ticket before .,1
booked in advance which made life easier .,1
went to the eiffel tower november 12th with my friends .,1
there are many queues from every direction and i do n't even know how long it will takes to queue .,1
i was lucky enough to go up in the evening and see the sunset and then paris at night .,1
the views from the top are endless .,1
"we went to paris on april and booked a hotel near by the eiffel tower , it was the best decision since we wanted to within a walking distance and visit the tower during the day and during the night , .",1
the place offers out of the world experience .,1
the view of paris once at the top is amazing especially on a clear day .,1
we did n't go up this trip but she still caught our attention from up close and other places in the city .,1
"the queue to go to the summit was ridiculously large and slow , which was very frustrating - we eventually gave up since we had little time .",1
on a clear day you can see all of paris .,1
simply wonderful .,1
"apart from the long queue to buy the tickets , the trip to the summit worth every minute .",1
the best way to really enjoy it is by having a meal at jules verne atop the second floor .,1
reservations are needed far in advance .,1
"go to the top for adult it is 17 eur , 12-24 age it is 14,50 eur and for children 4-11 age it is 10 eur .",1
"we visited paris 6 times over the year , we went up the tower 6 times .",1
we just walked straight in the gates 5 mins before our booked time and got in the lift .,1
next time i 'm in paris i 'll try to get up the tower but for my first visit i was simply blown away by it and ca n't think of any reason why anyone would fail to be impressed .,1
and thoroughly enjoyed the views from up there .,1
stop confiscating the possessions of law abiding citizens and either give them advance notice prior to cuing up or a way to retrieve them when they are done .,1
loved it as a child and visiting was more amazing than i could have dreamed .,1
we took the stairs up to the second floor instead of queuing for the lifts .,1
might have been lucky but ... .,1
we had tickets to the summit but we 're overwhelmed with the height on the 2nd floor so missed out on the top .,1
definitely need to buy tickets and go up to the top of the tower .,1
"yes of course , because the space up there is limited .",1
the line was so much shorter for the stairs .,1
however you still have to go to the top at least once .,1
how you can go to paris and not climb the iconic eiffel tower is beyond me !,1
"this is an iconic french and parisian structure , sadly i was unaware just how busy paris would be in august .",1
what an amazing contribution from gustav !,1
quite large in size it draws attention .,1
one word ... magical .,1
this is our second time to visit the eiffel tower but this time it is with the kids .,1
be ready for gobs of people and long ticket lines .,1
"a must-go-to attraction is paris , and for good reason .",1
"one of the most iconic buildings in the world , how can one go to paris and not visit the eiffel tower ?",1
"alighting from the trocadero subway station , we all had an `` eat your heart out '' view of the tower , only that there 's a huge renovation box disrupting the view .",1
we took selfies with the eiffel tower and it was amazing .,1
love this dont realy need to go up it amazing in day time but at night omg wait for on the hour lights watch from trocadero you wont be dissapointed,1
"we went to the first and then the second floor , walked around , beautiful view .",1
i would recommend a skip the queue ticket .,1
"i would recommend not to go if it 's a windy day , as the tour -lrb- at last level -rrb- moves and if u are scared of heights , u wo n't enjoy .",1
"the lines are long , so book ahead if you can .",1
"a must see world attraction , that draws you in the moment you see it .",1
this was a wednesday around 7 pm .,1
queues !,1
it is magical to see at night,1
we were so very excited to get here and be able to go up to the top .,1
prepare for extra security before entering !,1
whoa ... what a sight !,1
"lunch at 58 is fantastic with a great view , we sat on the trocadero side .",1
walked to the tower prior to visiting the louvre !,1
you can catch the lift or take the stairs -lrb- the brave -rrb- to the top .,1
"and we joined the queue , and went through another security point , and then into the lift and straight to the 2nd floor !",1
what an incredible experience to see the eiffel tower and walk around the area .,1
"choose a time , say 7:45 , be there at that time and walk in without waiting in line .",1
we learned a lot and our guide was pretty awesome !,1
"1 1/2 hours long , straight to the elevators .",1
found it at the end of a long walk and were lucky to get the sunset light show .,1
was lovely at night as it was all lit up and twinkling with christmas lights .,1
the trip to the top although pleasant was n't without trying my patience .,1
45 mins later or so i was then out of that queue and into elevator one .,1
there are long queue to purchase a on-the-spot ticket to go up to the tower with waiting time of more than 1 hour is not uncommon and worst on holidays and weekends .,1
walk across the street to get better pics .,1
"it look beautiful by night with all lights it shows , but that is everything .",1
it 's is a breath taking and i love it .,1
worth the effort .,1
very beautiful at night time .,1
it 's close to the train station and shops/restaurants .,1
"however , when we got there we found they had the tower fenced off all the way around and it really detract from the appeal and splendor of the attraction , plus the crowds around the tower are crazy !",1
up to to top is time consuming considering long queues .2 nd level gives good glimpse of the city .,1
i accidentally bought a ticket for the wrong day due to the rather rub bush website they have and they refused to change the date even though i raised the issue with client services minutes after buying the ticket .,1
a must do !!,1
this was a wonderful experience & one of the highlights of our 4 day visit to paris .,1
take the river cruise .,1
we went on our first day in paris during the afternoon and lined up for the elevator until we found out the top elevator was closed because of full capacity .,1
"we left dad and the 2,5 year old on the ground but they could probably have joined us without too much effort .",1
"impressed that it is n't over commercialised on the ground with food outlets etc. lifts take you to second level , where you change to upper level .",1
huge queues unfriendly staff .,1
amazed tour !,1
dont forget to visit the summit on the 3rd floor .,1
but it 's well worth it .,1
"we were unable to find tickets in advance online , so we were forced to wait in line .",1
paris looks amazing from so high ... .,1
it 's spectacular,1
make sure you are holding and keep your valuables close to you .,1
"i had been unable to pre book tickets online several weeks in advance of our visit , which i understand is a common issue and this was a great shame as the queues were very slow to get through security , which is totally understandable in the current climate , and we then had to queue again for a good hour and a half to purchase tickets .",1
the staff at the ticket office were so rude .,1
this time we made it to the summit .,1
when we got down to the ground level we walked away from tower to get some more photos .,1
that 's all we can say !,1
"the area is crowded , yet it 's a beautiful place to share with your loved one or just people watch while eating sweet pretzels and ice cream .",1
could do with more staff taking the money ... maybe the queues would move a bit quicker .,1
then up another floor to get another spectacular view .,1
"instead , the line for walking was empty .",1
"being our first visit in paris we decided to do all of the usual tourist traps , and rather luckily decided to prebook tickets -lrb- on many recommendations on tripadvisor ! -rrb-",1
do n't miss any part of the tower experience .,1
you see the paris view from top .,1
"also health permitting , the walk upto the second floor is so worth it .",1
"and the food was excellent , however we could n't finish all the wine they poured !",1
"at the top level , the view of the whole city is amazing .",1
we road the elevator to the 2nd and top floors and then back to the 2nd .,1
"try walking the stairs if your able , it is an experience you wo n't forget .",1
the views are great but you need to wait in long lines to get up and down .,1
happy to share that experience with my daughter .,1
"it 's so big and beautiful , however do go there early in the morning or in the evening , as in the afternoon the place is crazy packed with tourist and it will be hard for you to enjoy it fully .",1
beautiful iconic attraction in paris .,1
it 's quite a magical experience especially if you go at night the tower sparkles and you ca n't take your eyes off it .,1
it is situated on the 7th arrondissement of paris near champ de mars -lrb- 戰神廣場 -rrb- .,1
but trust me that time passes so quickly when you get chatting to other first-timers .,1
got to go up on the first batch .,1
"this time we approached from the park side and went straight to the ticket booths , with little harassment .",1
"for us , the line was too much to endure , so we strolled the lovely grounds , took hundreds of photographs from every imaginable angle , danced and played in the park , people-watched and had an otherwise extraordinary time basking in the shadows of this iconic masterpiece .",1
the lights at night is also very beautiful .,1
a bit of a wait but for me a dream come true .,1
"in the smaller park next to the eiffel tower you have to be aware for pickpockets and people , mainly girls , who come to you with a paper and the question to sign it .",1
yes it 's impressive and stunning at night but look out for the teams of girls asking for signatures for the deaf .,1
we did visit the actual grounds 2 years ago and were saddened by the carnival atmosphere which dragged down the experience .,1
"i had made a reservation for an actual tour through expedia and we were so exhausted that day and the weather was non stop rain , we ended up napping right straight through our 7:00 pm tour that i had prepaid roughly $ 100 for .",1
at night the lights flicker on the hour .,1
"also , best to visit around sunset in my opinion !",1
security let us through no bag checks -lrb- slightly worrying ? -rrb-,1
they are everywhere and very smart .,1
we went late in the day so there was n't a long line .,1
"on the ground , the line ups move fast and security keep people in line but once in the tower , we only saw staff at ticket check points .",1
money saved on walking was well spent on champagne at the top : - -rrb-,1
romantic picturesque place for couples definitely .,1
"one of the interesting spot for tourist and appear in some novels , comics , and films .",1
thos is the symbol of paris this is a remarkable statues of the world if it is clear wheather super paris wiev waiting youn do your boking on line before coming if not long waiting,1
i prefer to take friends and visitors on a boat ride with dinner and see the eiffel tower scintillating on the hour from the river .,1
"we arrived in paris on an evening , and after checking into the hotel we took the train down and saw the tower lit against the evening dim sky .",1
this is my second visit to the eiffel tower .,1
"no one could ever see everything , so find your top ten and be happy if you 're able to see them all .",1
"a word of caution , it is really windy from the top floor , so take an extra piece of coat with a hood .",1
we did not go up to the higher level because of the long line .,1
our pictures were spectacular !,1
"service was excellent from the at table staff , but the front house receptionist was snooty and unhelpful .",1
"the lift clanks and clatters upwards , revealing spectacular views of the city below .",1
definitely worth the time to go up the eiffel tower while in paris .,1
worth waiting in a row for going up .,1
the place to meet the guide was clearly defined and the young lady was there when she said she would be .,1
however be prepared to queue for a long time in high season to access the tower .,1
you should add it to your bucket list .,1
no question that the eiffel tower is a must see on a trip to paris .,1
there is no need for recommendation to this gigantic tower if you are in paris .,1
but i think this was a good thing primarily because the lines were not very long waiting for elevators .,1
the grounds surrounding the tower are very well maintained .,1
"also , if early enough , should n't be a problem getting access to the top .",1
a must see destination in paris !,1
a lot people of course and imigrants trying to sale over priced stuff .,1
the views looking over paris are so beautiful and you can see the full panorama .,1
"there is a souvenir shop but the prices are ridiculously expensive , and you can get the same items for cheaper elsewhere .",1
loved the view of the tower as well as view from the top .,1
the day we went it was raining so not a problem we went up .,1
beautiful views from an incredible location .,1
our trip included a small bus tour of inner streets -lsb- only small buses can manoeuvre such places -rsb- and all the famous landmarks as well as the cruise on the river seine only to be topped off by the fabulous luncheon -lrb- all expenses paid -rrb- and of course - the view .,1
"it is a must do if you 're in paris , common ... who does n't want to see the eiffel tower ????",1
i also saw a sweet little lady with her cross body open and slung behind her back .,1
this tower is number one to visit in paris !,1
surprisingly little wind at the top and amazing views stretching in all directions .,1
half the family walked down to ground via the steps and the rest got the elevator .,1
"views are spectacular , but take a jacket with you , as it was freezing up there !",1
"and it 's painted a terrible institutional fake bronze color , which does n't help .",1
unfortunately could n't go till top as the queue was huge to buy tickets .,1
we bought some sandwiches from a local store and enjoyed them in the shade .,1
everyone waiting expectantly for the setting of the sun behind the tower .,1
you can just see the tower from a different angle .,1
we have been there in april so maybe we have been very lucky but there was no queue at all to buy the tickets and only a 5 minute queue for the lift .,1
a much better view of the tower without all that stuff in the way .,1
"the lines for the ride stay long but that said , it means that anyone is able to go up and see this amazing city from the top of the eiffel tower .",1
the eiffel tower was breathtaking !,1
i did get to see someone propose to his gf right under the tower which was sweet .,1
"nighttime is also a `` must do '' if you have the time , but you will wait in line .",1
"stroll around and surprice yourself , do n't do what everyone else tells you !",1
two levels .,1
"excellent value , only cost us something like 18 euros for family of four .",1
it was fun though .,1
"we were able to get the tickets to second floor within 5-10 minutes , walked up the stairs -lrb- ~ 10-15min -rrb- to 2nd floor , then there was a very short line to purchase the ticket up to the top .",1
"but despite all this , it is worth seeing - ideally from up close to get a better view and an appreciation of its size .",1
i wanted to see it and possibly go to the restaurant .,1
easy to understand why it is so iconic .,1
we came by boat -lrb- a good choice -rrb- as part of the paris in one day .,1
looking right out at it .,1
a must see for your visit to paris !,1
certainly it is impressive and you are emotionally taken by its size and particularly by the amount of people who want to be able to take in such an amazing piece of world architecture period .,1
i did n't know the statue of liberty in ny was built using similar techniques and shipped to ny .,1
i want to visit again soon !,1
it is a wonderful end to any day in paris .,1
how could anyone visit the city of lights without climbing the eiffel tower ?,1
it took around half an hour to queue for tickets as we had n't booked in advance .,1
"we got the ticket to the top , the views are stunning , ticket price to second floor is 11 $ or 17 $ to top floor .",1
so amazing !,1
this was a birthday present to my husband who wanted to see the tower up close .,1
what a difference today .,1
"other than that there is n't much to see , it 's a tower",1
lighted up bright and view was amazing .,1
yeah sure !,1
interesting and informative .,1
everyone knows that there are great views but some things easy to forget are :,1
book in advance to avoid the queues !,1
"is something that you must visit , but be aware of the street vendors they can be really stressful and frightening",1
it is a definite `` must do '' when in paris ' and the cost will not break the bank .,1
"we kept returning to the tower at night to see the lights , and would grab a spot on the steps of the trocadero to take in the sights .",1
seriously awesome .,1
it 's very busy but worth it .,1
also great to see at night .,1
we did not stay at the attraction till sunset .,1
some interesting local characters and action around the periphery and across at the trocadero .,1
"also , we visited the park in front of the tower at 10 o clock and we saw the lighting show !!!!",1
go right to the top - its worth it .,1
"there are a lot of caricature artists around -lrb- but beware , they actually make true caricatures hat have no resemblance to you ! -rrb-",1
"we walked day and night , completely safe .",1
i had ridden to the top before and they did not want to .,1
"i thought this was very inconsiderate on behalf of the tour organisers , the fact that they would not dispell the bad weather conditions on a whim for me really damped my day .",1
really enjoyable 3 or so hours !,1
brilliant views .,1
"i only made it to deuxieme etage , could n't face the top !",1
"although climbing the eiffel tower would offer you a good panoramic view of paris , it could get pricey .",1
lots of pickpockets !!!,1
august is a great time to visit as many parisians are on holidays and the city is quieter than usual .,1
fab thing to do in this lovely city .,1
the very same views are different at every level which is kind of mind-blowing .,1
"lines to get up the tower are very long and once you get up , it is even more crowded with everyone packed into such a small space .",1
"still , it 's an icon that truly lives up to the hype .",1
brought the kids here on our tour of paris.the kids loved the park beside the tower.we did n't go up the tower because the line was too big.absolutely stunning at night .,1
"a must see for any trip to paris especially first , amazing beautiful .",1
the queues were quite long but the pay off was worth it to see some the greatest view of all paris in every direction as far as the eye could see .,1
"do n't get me wrong , going to the eiffel tower is very cool .",1
i still went up of course .,1
"also , the view is best from the champs de mars side of the eiffel tower .",1
defiantly worth the money .,1
if you 're not planning to buy then just say a firm no .,1
"i went with my wife last fall and it was rather cloudy , so we only went to the second level , as the top was in the clouds .",1
ths is our second visit to paris and eiffel tower .,1
"also , there is a great little restaurant just north one block along the river .",1
"oh man , what a feeling .",1
it 's a bit overwhelming but i 'm so glad we went !,1
"the views are still amazing , especially from the top level .",1
i recommend you to go there as well .,1
worth the long wait in line for a beautiful view of paris in every direction .,1
"we purchased our timed entry ticket online 90 days out , really easy .",1
such an impressive structure and enables amazing views of the city from even the first floor and second floors .,1
you can see out over all of paris .,1
obviously this is a must do for anyone who has n't gone up in the tower .,1
the tour guide was really good and had lots of interesting info about the tower and it 's history .,1
